,card_number,expiry_date,card_provider,date_payment_confirmed,card_number expiry_date,Unnamed: 0
0,30060773296197.0,09/26,Diners Club / Carte Blanche,2015-11-25,,
1,349624180933183.0,10/23,American Express,2001-06-18,,
2,3529023891650490.0,06/23,JCB 16 digit,2000-12-26,,
3,213142929492281.0,09/27,JCB 15 digit,2011-02-12,,
4,502067329974.0,10/25,Maestro,1997-03-13,,
5,3506661913512980.0,11/23,JCB 16 digit,2003-08-25,,
6,377549437870679.0,07/27,American Express,2006-12-11,,
7,2321541881278150.0,02/29,Mastercard,1995-08-24,,
8,6011037917693140.0,02/24,Discover,1998-10-23,,
9,502049986008.0,07/23,Maestro,2011-04-30,,
10,6501622116456490.0,10/28,Discover,2006-03-11,,
11,6502495513721380.0,11/27,Discover,2021-10-11,,
12,3551071736826240.0,11/31,JCB 16 digit,1993-07-16,,
13,371493449732930.0,10/29,American Express,2014-11-08,,
14,3536516200696080.0,01/29,JCB 16 digit,2009-11-29,,
15,5222519319551540.0,01/26,Mastercard,2019-02-22,,
16,4.53750998745528e+18,02/32,VISA 19 digit,2022-09-24,,
17,6011881097126120.0,10/26,Discover,1996-12-03,,
18,4.20421003399858e+18,08/28,VISA 19 digit,2019-09-21,,
19,3540126062083770.0,09/32,JCB 16 digit,2021-04-27,,
20,180093132939478.0,05/30,JCB 15 digit,2004-12-30,,
21,3579161126932720.0,02/23,JCB 16 digit,2015-11-16,,
22,4045259395988290.0,06/28,VISA 16 digit,2011-01-23,,
23,4.30562847733407e+18,07/24,VISA 19 digit,2017-03-06,,
24,6011112632675670.0,07/31,Discover,1999-02-08,,
25,370629659061970.0,10/30,American Express,2008-09-27,,
26,3565388078802970.0,03/32,JCB 16 digit,2016-10-28,,
27,4413511328768020.0,12/30,VISA 16 digit,1995-08-15,,
28,3510326851192930.0,10/31,JCB 16 digit,2001-06-30,,
29,30439078921644.0,12/25,Diners Club / Carte Blanche,1998-05-20,,
30,2296814173210180.0,06/24,Mastercard,2020-07-09,,
31,2297205767081190.0,10/30,Mastercard,2012-03-11,,
32,30280604114274.0,04/32,Diners Club / Carte Blanche,2005-04-22,,
33,4.02441439769541e+18,05/28,VISA 19 digit,1997-10-02,,
